word,count
*,2
a,397
project,2
gutenberg,2
canada,2
ebook,5
this,53
is,184
made,48
available,1
at,100
no,75
cost,2
and,1249
with,202
very,34
few,3
restrictions.,1
these,8
restrictions,1
apply,1
only,53
if,75
(1),1
you,146
make,35
change,3
in,357
the,2330
(other,1
than,30
alteration,1
for,134
different,3
display,1
devices),,1
or,59
(2),1
are,60
making,6
commercial,1
use,4
of,546
ebook.,1
either,4
conditions,1
applies,,1
please,3
check,2
gutenberg.ca/links/licence.html,1
before,33
proceeding.,1
work,20
canadian,1
public,1
domain,,1
but,212
may,12
be,87
under,27
copyright,3
some,36
countries.,1
live,5
outside,3
canada,,1
your,31
country's,1
laws.,1
book,2
country,,1
do,82
not,200
download,1
redistribute,1
file.,1
title:,1
old,250
man,218
sea,36
author:,1
hemingway,,1
ernest,5
(1899-1961),1
date,3
first,32
publication:,1
1952,3
edition,1
used,10
as,197
base,2
ebook:,1
new,9
york:,1
charles,3
scribner's,4
sons,,2
posted:,1
21,2
2012,2
last,8
updated:,1
#948,1
was,430
produced,1
by,32
al,1
haines,1
hemingway,3
york,2
copyright,,1
1952,,1
printed,1
united,1
states,1
america,1
_all,1
rights,1
reserved.,1
part,13
reproduced,1
any,25
form,3
without,20
permission,1
sons_,2
to,454
charlie,1
scribner,1
max,1
perkins,1
he,1128
an,29
who,23
fished,3
alone,7
skiff,36
gulf,5
stream,2
had,201
gone,13
eighty-four,2
days,10
now,124
taking,4
fish.,35
forty,5
boy,89
been,41
him.,43
after,32
fish,194
boy's,2
parents,1
told,11
him,164
that,283
definitely,1
finally,5
_salao_,,1
which,14
worst,1
unlucky,,1
their,42
orders,1
another,20
boat,24
caught,7
three,11
good,33
week.,1
it,400
sad,3
see,64
come,42
each,30
day,17
his,445
empty,2
always,14
went,34
down,75
help,9
carry,4
coiled,4
lines,15
gaff,11
harpoon,18
sail,19
furled,3
around,20
mast.,1
patched,3
flour,1
sacks,5
and,,11
furled,,1
looked,37
like,44
flag,1
permanent,1
defeat.,1
thin,2
gaunt,1
deep,11
wrinkles,1
back,77
neck.,2
brown,6
blotches,2
benevolent,1
skin,2
cancer,1
sun,39
brings,3
from,93
its,30
reflection,2
on,191
tropic,1
were,137
cheeks.,1
ran,4
well,27
sides,4
face,8
hands,35
deep-creased,1
scars,2
handling,1
heavy,16
cords.,1
none,1
fresh.,1
they,144
erosions,1
fishless,1
desert.,1
everything,13
about,29
except,10
eyes,18
same,9
color,2
cheerful,1
undefeated.,1
"santiago,",2
said,51
climbed,1
bank,1
where,34
hauled,1
up.,9
"i,80
could,112
go,38
again.,23
we've,1
money.",1
taught,1
loved,9
"no,",5
said.,127
"you're,6
lucky,5
boat.,10
stay,11
them.",2
"but,19
remember,13
how,28
eighty-seven,2
then,134
we,36
big,33
ones,1
every,5
weeks.",1
